">China<",">中国<"
">USA<",">美国<"
">India<",">印度<"
">Brazil<",">巴西<"
">Russia<",">俄罗斯<"
">UK<",">英国<"
">France<",">法国<"
">Turkey<",">土耳其<"
">Italy<",">意大利<"
">Spain<",">西班牙<"
">Germany<",">德国<"
">Colombia<",">哥伦比亚<"
">Argentina<",">阿根廷<"
">Mexico<",">墨西哥<"
">Poland<",">波兰<"
">Iran<",">伊朗<"
">South Africa<",">南非<"
">Ukraine<",">乌克兰<"
">Peru<",">秘鲁<"
">Netherlands<",">荷兰<"
">Indonesia<",">印度尼西亚<"
">Czechia<",">捷克<"
">Belgium<",">比利时<"
">Romania<",">罗马尼亚<"
">Chile<",">智利<"
">Canada<",">加拿大<"
">Iraq<",">伊拉克<"
">Bangladesh<",">孟加拉国<"
">Pakistan<",">巴基斯坦<"
">Philippines<",">菲律宾<"
">Sweden<",">瑞典<"
">Switzerland<",">瑞士<"
">Israel<",">以色列<"
">Morocco<",">摩洛哥<"
">Portugal<",">葡萄牙<"
">Austria<",">奥地利<"
">Saudi Arabia<",">沙特阿拉伯<"
">Serbia<",">塞尔维亚<"
">Hungary<",">匈牙利<"
">Jordan<",">约旦<"
">Nepal<",">尼泊尔<"
">Panama<",">巴拿马<"
">Japan<",">日本<"
">Georgia<",">格鲁吉亚<"
">Azerbaijan<",">阿塞拜疆<"
">UAE<",">阿联酋<"
">Ecuador<",">厄瓜多尔<"
">Croatia<",">克罗地亚<"
">Bulgaria<",">保加利亚<"
">Belarus<",">白俄罗斯<"
">Lebanon<",">黎巴嫩<"
">Slovakia<",">斯洛伐克<"
">Dominican Republic<",">多米尼加共和国<"
">Costa Rica<",">哥斯达黎加<"
">Denmark<",">丹麦<"
">Bolivia<",">玻利维亚<"
">Armenia<",">亚美尼亚<"
">Kazakhstan<",">哈萨克斯坦<"
">Kuwait<",">科威特<"
">Lithuania<",">立陶宛<"
">Tunisia<",">突尼斯<"
">Moldova<",">摩尔多瓦<"
">Qatar<",">卡塔尔<"
">Egypt<",">埃及<"
">Palestine<",">巴勒斯坦<"
">Greece<",">希腊<"
">Guatemala<",">危地马拉<"
">Oman<",">阿曼<"
">Slovenia<",">斯洛文尼亚<"
">Myanmar<",">缅甸<"
">Ethiopia<",">埃塞俄比亚<"
">Honduras<",">洪都拉斯<"
">Malaysia<",">马来西亚<"
">Venezuela<",">委内瑞拉<"
">Bosnia and Herzegovina<",">波斯尼亚和黑塞哥维那<"
">Ireland<",">爱尔兰<"
">Paraguay<",">巴拉圭<"
">Libya<",">利比亚<"
">Algeria<",">阿尔及利亚<"
">Kenya<",">肯尼亚<"
">Bahrain<",">巴林<"
">Nigeria<",">尼日利亚<"
">North Macedonia<",">北马其顿<"
">Kyrgyzstan<",">吉尔吉斯斯坦<"
">Uzbekistan<",">乌兹别克斯坦<"
">S. Korea<",">韩国<"
">Albania<",">阿尔巴尼亚<"
">Singapore<",">新加坡<"
">Ghana<",">加纳<"
">Afghanistan<",">阿富汗<"
">Norway<",">挪威<"
">Montenegro<",">黑山<"
">El Salvador<",">萨尔瓦多<"
">Luxembourg<",">卢森堡<"
">Sri Lanka<",">斯里兰卡<"
">Latvia<",">拉托维亚<"
">Finland<",">芬兰<"
">Uganda<",">乌干达<"
">Estonia<",">爱沙尼亚<"
">Australia<",">澳大利亚<"
">Cameroon<",">喀麦隆<"
">Namibia<",">纳米比亚<"
">Cyprus<",">塞浦路斯<"
">Sudan<",">苏丹<"
">Ivory Coast<",">科特迪瓦<"
">Zambia<",">赞比亚<"
">Uruguay<",">乌拉圭<"
">Senegal<",">塞内加尔<"
">Mozambique<",">莫桑比克<"
">DRC<",">刚果民主共和国<"
">Madagascar<",">马达加斯加<"
">Angola<",">安哥拉<"
">Zimbabwe<",">津巴布韦<"
">French Polynesia<",">法属波利尼西亚<"
">Botswana<",">博茨瓦纳<"
">Mauritania<",">毛里塔尼亚<"
">Maldives<",">马尔代夫<"
">Guinea<",">几内亚<"
">French Guiana<",">法属圭亚那<"
">Malta<",">马耳他<"
">Tajikistan<",">塔吉克斯坦<"
">Jamaica<",">牙买加<"
">Cuba<",">古巴<"
">Cabo Verde<",">佛得角<"
">Syria<",">叙利亚<"
">Belize<",">伯利兹<"
">Eswatini<",">埃斯瓦蒂尼<"
">Haiti<",">海地<"
">Gabon<",">加蓬<"
">Réunion<",">留尼汪岛<"
">Hong Kong<",">香港<"
">Thailand<",">泰国<"
">Rwanda<",">卢旺达<"
">Guadeloupe<",">瓜德罗普<"
">Andorra<",">安道尔<"
">Bahamas<",">巴哈马<"
">Mali<",">马里<"
">Burkina Faso<",">布基纳法索<"
">Trinidad and Tobago<",">特立尼达和多巴哥<"
">Malawi<",">马拉维<"
">Congo<",">刚果<"
">Suriname<",">苏里南<"
">Guyana<",">圭亚那<"
">Nicaragua<",">尼加拉瓜<"
">Martinique<",">马提尼克岛<"
">Mayotte<",">马约特<"
">Djibouti<",">吉布提<"
">Iceland<",">冰岛<"
">Aruba<",">阿鲁巴<"
">Equatorial Guinea<",">赤道几内亚<"
">CAR<",">中非共和国<"
">Somalia<",">索马里<"
">Curaçao<",">库拉索岛<"
">Lesotho<",">莱索托<"
">Gambia<",">冈比亚<"
">Togo<",">多哥<"
">South Sudan<",">南苏丹<"
">Niger<",">尼日尔<"
">Benin<",">贝宁<"
">Channel Islands<",">海峡群岛<"
">Sierra Leone<",">塞拉利昂<"
">Gibraltar<",">直布罗陀<"
">San Marino<",">圣马力诺<"
">Guinea-Bissau<",">几内亚比绍<"
">Chad<",">乍得<"
">Liechtenstein<",">列支敦士登<"
">New Zealand<",">新西兰<"
">Yemen<",">也门<"
">Liberia<",">利比里亚<"
">Vietnam<",">越南<"
">Sint Maarten<",">圣马丁<"
">Eritrea<",">厄立特里亚<"
">Mongolia<",">蒙古<"
">Sao Tome and Principe<",">圣多美和普林西比<"
">Comoros<",">科摩罗<"
">Saint Martin<",">圣马丁<"
">Monaco<",">摩纳哥<"
">Turks and Caicos<",">特克斯和凯科斯群岛<"
">Burundi<",">布隆迪<"
">Taiwan<",">台湾<"
">Papua New Guinea<",">巴布亚新几内亚<"
">Bhutan<",">不丹<"
">Diamond Princess<",">钻石公主<"
">Barbados<",">巴巴多斯<"
">Bermuda<",">百 慕 大<"
">Faeroe Islands<",">法罗群岛<"
">Mauritius<",">毛里求斯<"
">Tanzania<",">坦桑尼亚<"
">Isle of Man<",">马恩岛<"
">Cambodia<",">柬埔寨<"
">Saint Lucia<",">圣卢西亚<"
">Seychelles<",">塞舌尔<"
">Cayman Islands<",">开曼群岛<"
">Caribbean Netherlands<",">加勒比 荷兰<"
">St. Barth<",">圣巴特<"
">Brunei <",">文莱<"
">Antigua and Barbuda<",">安提瓜和巴布达<"
">St. Vincent Grenadines<",">圣·文森特·格林纳丁斯<"
">Grenada<",">格林纳达<"
">British Virgin Islands<",">英属维尔京群岛<"
">Dominica<",">多米尼加<"
">Fiji<",">斐济<"
">Timor-Leste<",">东帝汶<"
">Macao<",">澳门<"
">Laos<",">老挝<"
">New Caledonia<",">新喀里多尼亚<"
">Saint Kitts and Nevis<",">圣基茨和尼维斯<"
">Falkland Islands<",">福克兰群岛<"
">Greenland<",">格陵兰<"
">Vatican City<",">梵蒂冈城<"
">Solomon Islands<",">所罗门群岛<"
">Saint Pierre Miquelon<",">圣皮埃尔·密克隆<"
">Anguilla<",">安圭拉岛<"
">Montserrat<",">蒙特塞拉特<"
">Western Sahara<",">西撒哈拉<"
">MS Zaandam<",">扎女士<"
">Marshall Islands<",">马绍尔群岛<"
">Wallis and Futuna<",">瓦利斯和富图纳<"
