">Country,<br/>Other<",">国家地区<"
">Total<br/>Cases<",">累计确诊<"
">New<br/>Cases<",">新增确诊<"
">Total<br/>Deaths<",">累计死亡<"
">New<br/>Deaths<",">新增死亡<"
">Total<br/>Recovered<",">累计治愈<"
">New<br/>Recovered<",">新增治愈<"
">Active<br/>Cases<",">现有病例<"
">Serious,<br/>Critical<",">危重病例<"
">Tot Cases/<br/>1M pop<",">确诊/百万人<"
">Deaths/<br/>1M pop<",">死亡/百万人<"
">Total<br/>Tests<",">累计检测<"
">Tests/<br/>
<nobr>1M pop</nobr>
<",">检测/百万人<"
">Population<",">总人口<"
">Continent<",">洲<"
">1 Case<br/>every X ppl<",">每x人1确诊<"
">1 Death<br/>every X ppl<",">每x人1死亡<"
">1 Test<br/>every X ppl<",">每x人1检测<"
